jmpst;Station_name;Lat_fixed;Long_fixed;myear;sdate;stime;rlabo;seqno;subno;speci;latitude;longitude;latdg;latmi;latmf;londg;lonmi;lonmf;inorb;noinp;lnmin;lnmax;lnmea;lnstd;wtmin;wtmax;wtmea;wtstd;shlwtx;tiswtx;qeorw;cmnt1.x;cmnt2.x;cmnt3.x;cmnt4.x;cmnt5.x
7*;NA;NA;NA;1983;19831115;NA;FIER;    1;1;MYTI EDU;NA;NA;59;49;  0; 5;43;  0;B; 20;45;50;48,00; 2,00;NA;NA;0,2;NA;NA;  4,3;E;NA;NA;NA;NA;NA
7*;NA;NA;NA;1983;19831115;NA;FIER;    1;2;MYTI EDU;NA;NA;59;49;  0; 5;43;  0;B; 20;47;51;49,00; 2,00;NA;NA;0,2;NA;NA;  4,0;E;NA;NA;NA;NA;NA
7*;NA;NA;NA;1983;19831115;NA;FIER;    1;3;MYTI EDU;NA;NA;59;49;  0; 5;43;  0;B; 20;45;51;48,00; 3,00;NA;NA;0,2;NA;NA;  4,6;E;NA;NA;NA;NA;NA
16*;NA;NA;NA;1983;19831115;NA;FIER;    2;1;MYTI EDU;NA;NA;60;10;  0; 6; 0;  0;B; 20;31;36;34,00; 2,00;NA;NA;0,1;NA;NA;  1,8;E;NA;NA;NA;NA;NA
16*;NA;NA;NA;1983;19831115;NA;FIER;    2;2;MYTI EDU;NA;NA;60;10;  0; 6; 0;  0;B; 20;30;38;33,00; 2,00;NA;NA;0,1;NA;NA;  1,6;E;NA;NA;NA;NA;NA
16*;NA;NA;NA;1983;19831115;NA;FIER;    2;3;MYTI EDU;NA;NA;60;10;  0; 6; 0;  0;B; 20;30;39;33,00; 3,00;NA;NA;0,1;NA;NA;  1,5;E;NA;NA;NA;NA;NA
36*;NA;NA;NA;1983;19831115;NA;FIER;    3;1;MYTI EDU;NA;NA;60;25;  0; 6;24;  0;B; 20;31;41;36,00; 3,00;NA;NA;NA;NA;NA;  0,7;E;NA;NA;NA;NA;NA
36*;NA;NA;NA;1983;19831115;NA;FIER;    3;2;MYTI EDU;NA;NA;60;25;  0; 6;24;  0;B; 20;26;32;29,00; 2,00;NA;NA;NA;NA;NA;  0,4;E;NA;NA;NA;NA;NA
36*;NA;NA;NA;1983;19831115;NA;FIER;    3;3;MYTI EDU;NA;NA;60;25;  0; 6;24;  0;B; 20;26;35;31,00; 2,00;NA;NA;NA;NA;NA;  0,4;E;NA;NA;NA;NA;NA
24*;NA;NA;NA;1983;19831115;NA;FIER;    4;1;MYTI EDU;NA;NA;60;22;  0; 6;37;  0;B; 20;45;55;50,00; 3,00;NA;NA;0,2;NA;NA;  4,5;E;NA;NA;NA;NA;NA
24*;NA;NA;NA;1983;19831115;NA;FIER;    4;2;MYTI EDU;NA;NA;60;22;  0; 6;37;  0;B; 20;45;60;51,00; 5,00;NA;NA;0,2;NA;NA;  4,2;E;NA;NA;NA;NA;NA
